ORIENTACION,ALTITUD,COD_EJEMPLAR,COD_INTERNO,ESPECIE_EPITETO,FAMILIA,PRODECENCIA,GENERO,ESPECIE,SUBESPECIE,
Laguna aguas verdes SUR,2800,237DEMB16,1,Ranunculus acetosellifolius ,RANUNCULACEAE,SN,Ranunculus,acetosellifolius,,
Barranco de San Juan NORTE,2450,122DEMB16,2,Vaccinium uliginosum subsp. nanum,ERICACEAE,SN,Vaccinium,uliginosum,nanum,
Laguna aguas verdes SUR,2800,240DEMB16,3,Jasione sp. ,CAMPANULACEAE,SN,Jasione,sp.,,
Laguna aguas verdes SUR,2800,221DEMB16,4,Sagina procumbens 1,CARYOPHYLLACEAE,SN,Sagina,procumbens,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,209DEMB16,5,Carex furva subsp. furva,CYPERACEAE,SN,Carex,furva,furva,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,201DEMB16,6,Dactylis glomerata ,POACEAE,SN,Dactylis,glomerata,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,212DEMB16,7,Juncus bulbosus ,JUNCACEAE,SN,Juncus,bulbosus,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,207DEMB16,8,Saxifraga stellaris subsp. robusta,SAXIFRAGACEAE,SN,Saxifraga,stellaris,robusta,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,210DEMB16,9,Festuca sp.2 ,POACEAE,SN,Festuca,sp.2,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,213DEMB16,10,Poa sp.1 ,POACEAE,SN,Poa,sp.1,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,202DEMB16,11,Carex leporina ,CYPERACEAE,SN,Carex,leporina,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,196DEMB16,12,Trifolium repens subsp. nevadense,FABACEAE,SN,Trifolium,repens,nevadense,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,200DEMB16,13,Carex nigra subsp. intrincata,CYPERACEAE,SN,Carex,nigra,intrincata,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,204DEMB16,14,Viola palustris ,VIOLACEAE,SN,Viola,palustris,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,199DEMB16,15,Scorzoneroides nevadensis ,ASTERACEAE,SN,Scorzoneroides,nevadensis,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,190DEMB16,16,Festuca sp.1 ,POACEAE,SN,Festuca,sp.1,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,197DEMB16,17,Sagina procumbens 2,CARYOPHYLLACEAE,SN,Sagina,procumbens,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,194DEMB16,18,Euphrasia willkommii ,OROBANCHACEAE,SN,Euphrasia,willkommii,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,189DEMB16,19,Lotus pedunculatus ,FABACEAE,SN,Lotus,pedunculatus,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,198DEMB16,20,Gentiana sierrae 1,GENTIANACEAE,SN,Gentiana,sierrae,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,208DEMB16,21,Cerastium cerastioides ,CARYOPHYLLACEAE,SN,Cerastium,cerastioides,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,193DEMB16,22,Carex lepidocarpa subsp. nevadensis 1,CYPERACEAE,SN,Carex,lepidocarpa,nevadensis,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,191DEMB16,23,Plantago nivalis ,PLANTAGINACEAE,SN,Plantago,nivalis,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,192DEMB16,24,Scorzoneroides microcephala 2,ASTERACEAE,SN,Scorzoneroides,microcephala,,
Laguna aguas verdes SUR,2800,225DEMB16,25,Spergularia rubra subsp. alpina,CARYOPHYLLACEAE,SN,Spergularia,rubra,alpina,
Laguna aguas verdes SUR,2800,222DEMB16,26,Cirsium acaule subsp. gregarium,ASTERACEAE,SN,Cirsium,acaule,gregarium,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,188DEMB16,27,Nardus stricta ,POACEAE,SN,Nardus,stricta,,
Barranco de San Juan NORTE,2450,149DEMB16,28,Teesdalia sp. ,BRASSICACEAE,SN,Teesdalia,sp.,,
Laguna aguas verdes SUR,2800,214DEMB16,29,Festuca sp.3 ,POACEAE,SN,Festuca,sp.3,,
Laguna aguas verdes SUR,2800,227DEMB16,30,Herniaria boissieri subsp. boissieri,CARYOPHYLLACEAE,SN,Herniaria,boissieri,boissieri,
Barranco de San Juan NORTE,2450,133DEMB16,31,Juncus urticulatus ,JUNCACEAE,SN,Juncus,urticulatus,,
Laguna aguas verdes SUR,2800,220DEMB16,32,Lepidium stylatum ,BRASSICACEAE,SN,Lepidium,stylatum,,
Laguna aguas verdes SUR,2800,219DEMB16,33,Sedum melanantherum ,CRASSULACEAE,SN,Sedum,melanantherum,,
Laguna aguas verdes SUR,2800,217DEMB16,34,Ranunculus demissus ,RANUNCULACEAE,SN,Ranunculus,demissus,,
Laguna aguas verdes SUR,2800,226DEMB16,35,Reseda complicata ,RESEDACEAE,SN,Reseda,complicata,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,178DEMB16,36,Arenaria tetraquetra subsp. amabilis,CARYOPHYLLACEAE,SN,Arenaria,tetraquetra,amabilis,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,172DEMB16,37,Cerastium cerastioides 2,CARYOPHYLLACEAE,SN,Cerastium,cerastioides,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,156DEMB16,38,Potentilla cf.nevadensis ,ROSACEAE,SN,Potentilla,cf.nevadensis,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,170DEMB16,39,Pinguicula nevadensis ,LENTIBULARIACEAE,SN,Pinguicula,nevadensis,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,174DEMB16,40,Sagina saginoides ,CARYOPHYLLACEAE,SN,Sagina,saginoides,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,157DEMB16,41,Galium verum subsp. verum,RUBIACEAE,SN,Galium,verum,verum,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,175DEMB16,42,Isolepis setacea ,CYPERACEAE,SN,Isolepis,setacea,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,187DEMB16,43,Botrychium lunaria ,BOTRYCHIACEAE,SN,Botrychium,lunaria,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,168DEMB16,44,Trifolium pratense subsp. pratense,FABACEAE,SN,Trifolium,pratense,pratense,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,163DEMB16,45,Gentiana sierrae 2,GENTIANACEAE,SN,Gentiana,sierrae,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,180DEMB16,46, sp.4 ,NA,SN,NA,sp.4,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,171DEMB16,47,Gentiana boryi ,GENTIANACEAE,SN,Gentiana,boryi,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,160DEMB16,48,Scorzoneroides microcephala ,ASTERACEAE,SN,Scorzoneroides,microcephala,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,177DEMB16,49,Euphrasia willkommii ,OROBANCHACEAE,SN,Euphrasia,willkommii,,
PRADO DE LAS POZAS,,315 DEMB16,50,Genista anglica,FABACEAE,GR,Genista,anglica,,
PRADO DE LAS POZAS,,314 DEMB16,51,Agrostis truncatula,POACEAE,GR,Agrostis,truncatula,,
PUERTO CANDELEDA,,308 DEMB16,52,Ranunculus paludosus 1,RANUNCULACEAE,GR,Ranunculus,paludosus,,
PRADO DE LAS POZAS,,331 DEMB16,53,sp. Asteraceae ,ASTERACEAE,GR,sp. Asteraceae,,,
PUERTO CANDELEDA,,300 DEMB16,54,Stellaria alsimae,CARYOPHYLLACEAE,GR,Stellaria,alsimae,,
PRADO DE LAS POZAS,,318 DEMB16,55,Plantago holosteum,PLANTAGINACEAE,GR,Plantago,holosteum,,
